latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.34424,80.18712,332.68,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,301.94,6.2,D
8.349,80.19014,331.08,0.41,0.45,2026-09-01,750,N,VIIRS,l,2.0NRT,301.86,4.48,D
8.35582,80.28069,331.43,0.41,0.45,2026-09-01,750,N,VIIRS,l,2.0NRT,301.46,3.73,D
8.36403,80.27928,346.99,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,302.44,6.03,D
8.37648,81.04984,336.23,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.95,12.25,D
8.37836,80.6104,344.11,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,305.36,6.35,D
8.38429,81.04854,349.85,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,306.78,22.09,D
8.38557,80.25662,344.78,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,299.85,10.02,D
8.39226,81.16862,331.78,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,295.94,5.92,D
8.40258,80.63156,352.12,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.59,8.98,D
8.40672,80.25681,337.52,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,301.7,6.7,D
8.40733,80.26052,332.36,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,299.62,3.39,D
8.41083,80.25612,338.4,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,297.36,4.26,D
8.41403,80.62608,341.23,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.18,6.92,D
8.41644,80.41689,331.79,0.4,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,302.89,2.04,D
8.41854,80.18941,334.78,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,299.92,4.82,D
8.42361,80.5847,331.75,0.39,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,303.93,6.09,D
8.43706,80.33877,330.46,0.4,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,301.29,4.04,D
8.44123,80.37093,334.63,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,299.81,1.9,D
8.44242,80.37146,337.13,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,299.87,4.32,D
8.45904,80.40157,331.54,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.2,2.31,D
8.4631,80.4009,339.49,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.21,2.31,D
8.46341,81.0887,337.52,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,299.74,15.6,D
8.46372,80.40453,338.04,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.63,2.31,D
8.46717,80.40021,339.96,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.11,2.9,D
