event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_413598AC7A,335.9,2.34,,day,,,,,,,,0.0,,0.0,,43.25,12.26,22.01,0.23,21.56,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_804BF2834A,333.48,4.14,,day,,,,,,,,0.0,,,0.0,29.12,14.51,54.16,0.12,1.08,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_37136F49FD,331.06,2.81,,day,,,,,,0.043,0.0,0.0,0.0,0.0,0.0,37.62,18.8,36.26,2.03,5.26,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_53E1E798C7,333.13,3.49,,day,,,,,,,0.0,,0.0,0.0,0.0,54.79,16.6,25.64,2.9,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_A0D8990414,330.36,3.51,,day,3.6402,,,,,,1.0,0.0,0.0,,0.0,33.58,39.51,24.09,2.72,0.0,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,3.0,,uncertain
FIRMS_21D02AA41F,336.99,8.44,,day,,,,,,0.2508,0.0,,,,0.0,21.46,71.96,3.72,2.85,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_AC8508424D,337.66,11.36,,day,,,,,,,0.0,0.0,0.0,0.0,0.0,21.29,72.93,3.91,1.86,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_A2026F22C3,339.99,6.17,,day,,,,,,0.3772,0.0,0.0,0.0,,0.0,11.53,81.37,5.58,1.45,0.07,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_6F6072A974,343.87,13.59,,day,,,,,,,0.0,,0.0,0.0,0.0,13.32,76.32,6.81,0.17,3.35,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_23C88F1AAD,343.88,3.0,,day,,,3.893,1.4199,,,,0.0,1.0,1.0,,24.96,55.67,11.4,3.24,4.68,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:ok; mine:ok; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_786ABD3025,334.74,8.15,,day,3.1543,,,0.9599,,0.1541,1.0,0.0,,1.0,0.0,23.64,50.29,18.58,2.81,4.43,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:not_found; powerplant:query_failed; mine:ok; gas_facility:not_found; road:ok,osm_partial_failure,3.0,,uncertain
FIRMS_8942192DBB,345.21,8.15,,day,,,,,,0.2372,,0.0,,0.0,,12.73,75.88,8.9,2.16,0.15,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
FIRMS_10C8D8DB0D,343.55,11.34,,day,,,,,,0.1122,,,,0.0,0.0,10.88,63.18,24.56,1.33,0.01,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_BAB98BA65A,332.13,3.98,,day,,,,,,,,0.0,,,,9.53,42.41,44.92,1.29,0.07,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_470CA0968A,332.18,5.72,,day,2.8341,,,,,0.1532,1.0,,,,,10.17,40.75,45.7,1.6,0.07,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:query_failed; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:ok,osm_partial_failure,3.0,,uncertain
FIRMS_976CC54F60,334.64,4.1,,day,3.9572,,,,,,1.0,0.0,,,,4.54,50.97,39.66,1.39,0.13,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,3.0,,uncertain
FIRMS_A00592E614,344.12,6.13,,day,1.3225,,4.1796,,,0.2429,1.0,,1.0,,0.0,13.0,58.18,18.78,9.36,0.27,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:query_failed; powerplant:ok; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,3.0,,uncertain
FIRMS_7B40428753,335.4,5.62,,day,,,1.9008,,,,,0.0,1.0,0.0,0.0,25.67,42.29,27.52,2.29,0.93,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_BA569CE32B,332.03,0.93,,day,,,,,,0.1052,,,,0.0,0.0,11.68,51.97,31.15,4.09,0.67,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_FCFE577E96,332.41,7.15,,day,,,,,,,,0.0,,0.0,,28.55,21.5,43.31,6.37,0.01,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_FD3EA917C6,334.72,1.56,,day,,,,,,,0.0,0.0,0.0,,0.0,9.72,82.24,3.85,4.09,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_F337299A24,336.41,2.22,,day,,,,,,,0.0,0.0,,,0.0,23.0,13.64,36.2,13.72,7.48,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_F83AFA7088,336.34,4.53,,day,3.2425,,,,,,1.0,,,0.0,0.0,40.33,29.42,24.07,3.35,2.58,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,3.0,,uncertain
FIRMS_60F6547A83,336.91,3.94,,day,,,,,,1.1928,,,,0.0,0.0,5.63,18.61,75.76,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_D458D0A8EF,334.62,5.89,,day,,,,,,,,0.0,0.0,,0.0,6.47,14.59,78.94,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
